language,location,messsage
en,,"RT @SaraVanderwegen: Built in 1163. Took 200 years to complete. 
It survived revolutions, plagues and world wars. 
And now, the evening of April 15th 2019, the Notre Dame in Paris burns. 
All history gone. 

The world stands helpless as history disappears before our eyes. 💔  

Im so sorry #NotreDame https://t.co/aHYu5fOJqo"
en,,"RT @RealJack: WOW: Fox News Randomly Hangs Up On Catholic League President For Raising Questions On The Notre Dame Fire

 https://t.co/wKAVOot4sG"
fr,,"RT @YASSR7_: Depuis hier soir, depuis l’histoire de ma photo avec notre dame tout le monde me demande de prendre des photos avec les gens qu’il veulent voir disparaître mdrrr en mode je suis un death note humaine mdrrr je crois je vais commencer à prendre vos commandes la"
en,,"RT @SaraVanderwegen: Built in 1163. Took 200 years to complete. 
It survived revolutions, plagues and world wars. 
And now, the evening of April 15th 2019, the Notre Dame in Paris burns. 
All history gone. 

The world stands helpless as history disappears before our eyes. 💔  

Im so sorry #NotreDame https://t.co/aHYu5fOJqo"
en,"Chula Vista, CA","RT @AprilPonnuru: Regarding the tragic fire at Notre Dame, a friend notes that journalists are wrestling with how to speak of an event with a spiritual dimension. This is so much more than architecture; it is a locus of faith and an integral part of the history of the Church. Kyrie, eleison."
en,Hogwarts,RT @Naru_Xut: Me hearing about the Notre Dame cathedral fire while  knowing how destructive French colonization has been to so many peoples cultures around the world. https://t.co/XKZ25HgLWM
it,"Milano, Lombardia","RT @leGneral2: 💥 📽️Toulouse Le 13/04/2019 : Avec #notredame les pompiers ont gagné le cœur des français, pas les policiers!!
Police repression against yellow vests in Toulouse #France!
💥Dénoncez SVP🙏
#Notre_dame_de_Paris #NotreDameCathedral #NotreDameFire #NotreDameDeParis #GiletsJaunes https://t.co/Ojc0VaJ8GO"
en,,"Top story: @BrentBozell: 'The fire devouring Notre Dame yesterday was a true metaphor on the state of Christianity in France, and Europe, and the world.
Today the Cross is still standing, magnificently -- another metaph… https://t.co/ZFlwZzLhXm, see more https://t.co/LnhpKwIsGU"
es,,"RT @wholiancito: A ver muchachos... Cuando se dice que la catedral de Notre Dame es ""patrimonio de la humanidad"" no significa que el ideario pregonado por la iglesia sea correcto, lo que se quiere decir es que el edificio tenía un valor cultural/histórico irremplazable. No sean pelotudos."
es,,"RT @QasimRashid: Construction on the Notre Dame cathedral began in 1163

By 1182 France exiled Jews, destroyed their businesses, &amp; that’s while persecuting them for a century during Crusades

Meanwhile Muslim Moors of Spain gave Jews refuge &amp; protection

Facts don’t care about your feelings, Ben. https://t.co/4H86rMBnWU"
es,Argentina,"Christophe Krywonis y el dolor por el incendio de Notre Dame: ""Estoy desconsolado"" https://t.co/MtkUtfCzRa https://t.co/FoXw4yOGvQ"
es,Buenos Aires,RT @MilyEspindolaa: No conocen ni la iglesia ke está x su barrio y andan llorando x la catredral de Notre Dame
en,,"“Strange world. Big fire in tower with flats, ordinary people dead – no rich person donates anything. The famous are silent. An old building with stuff in it gets burned. Rich bloke donates part of his unbelievable wealth towards its restoration. Marc …” https://t.co/VzxRTVu5Sk"
en,,"RT @robertjbennett: the ""proudly unmoved by notre dame in consideration of other tragedies"" takes are a consequence of the internet making people feel responsible for every event in the world, IE: ""why should i be obliged to feel for THAT when it's much better to be obliged to feel for THIS"""
en,956,RT @loneblockbuster: How dare you say we're taking advantage of a tragedy. Renting Hunchback of Notre Dame (1996) has always cost 20 bucks.
en,"Albuquerque, NM","RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
ja,かざるたからもいりくるみなと,"RT @atmsphrca: ノートルダム大聖堂の復旧にアサシンクリードのデータが役立つかも、とニュースに出てる。ゲーム、精緻な3Dデータが現実を救う例になりそう Silver lining: Late art historian's work, 'Assassin's Creed' video game could help rebuild Notre Dame https://t.co/H5IjIOZtVf"
es,,@olgamarb @CNNEE Interesante. No conocía ese hecho. Gracias. Años luego perdió el Imperio y fue desterrado donde murió. Yo solo sabia que había sido coronado por Pío VI un domingo 8 de Diciembre de 1804 en Notre Dame su madre Madame Mere no asistió e igual el pintor David la colocó en su lienzo .
en,,"RT @nyliberal44: This is hilarious! One of the key Republicans who caused so much damage by blocking anything that President Obama tried to get down, and a key Trump enabler. Teaching government? Really? C'mon, Notre Dame! Rescind this offer. https://t.co/sApr0uygss"
es,Caracas - Venezuela,"Descubre las 7 curiosidades de la icónica catedral de Notre Dame              `""              https://t.co/DVZYT1yvSN"
en,UD,RT @Newsweek: Jerusalem's Al-Aqsa Mosque burns at the same time as fire engulfs Notre Dame Cathedral in Paris https://t.co/IBve6ek5AH https://t.co/NhprnLM4y7
es,"San José, Temperley","RT @tenebrisimo_: Conocemos todos la catedral de Notre Dame, pero anoche también ardió la mezquita Al-Aqsa de Jerusalén, del siglo VIII. https://t.co/cuQmGcPN2v"
es,"Ciudad de Panamá, Panamá",RT @BabeDeJour: La iglesia satánica manda un comunicado de dolor ante el incendio de Notre-Dame de París y tú de bobo diciendo que la mejor iglesia es la quemada. https://t.co/KerKlOvkuM
es,"Ciudad de Panamá, Panamá",RT @BabeDeJour: La iglesia satánica manda un comunicado de dolor ante el incendio de Notre-Dame de París y tú de bobo diciendo que la mejor iglesia es la quemada. https://t.co/KerKlOvkuM
en,,"RT @PrisonPlanet: BuzzFeed is right.

No one was celebrating the Notre Dame fire.

It was all just a 'conspiracy theory'.

Oh wait.....

FULL VIDEO: https://t.co/nx9QheuRKN https://t.co/Qh04rHtC7t"
en,"Burbank,ca","RT @EdKrassen: The Notre Dame Cathedral Fire is horrific, and it's nice that Trump &amp; Pence took time to tweet their thoughts &amp; prayers to the people of Paris, but why the hell haven't they tweeted a single word about the three black churches that burnt down in America this month?

America 1st?"
es,,RT @El_Universal_Mx: La emblemática aguja central es una de las mayores pérdidas del templo medieval https://t.co/mcdF4IZqWZ https://t.co/anGuIWt41L
en,"Florida, USA","RT @QasimRashid: Black church burns
•Beck: ¯\_(ツ)_/¯

2nd Black church burns
•Beck: ¯\_(ツ)_/¯

3rd Black church burns
•Beck: ¯\_(ツ)_/¯

Culprit is white supremacist
•Beck: ¯\_(ツ)_/¯

Notre Dame Burns due to human error
•Beck: How can I blame Muslims for this??

🤔
https://t.co/VvEGKOpvd5"
en,UK,Notre-Dame de Paris : des dégâts considérables https://t.co/5iBoZPggiN
es,veracruz,RT @valentinography: Louis Vuitton are giving 200 million to fund rebuilding the notre dame...can’t wait to see jesus carrying a speedy 60 in a stain glass window
fr,"Lyon, France","Top story: @GuillaumeDaudin: '📷 Notre-Dame, dévastée, debout
#AFP ' https://t.co/zBsw4IQKS5, see more https://t.co/ukIfR1QE5V"
en,,RT @baronjimena: Si ayudaran a que la gente no muera de hambre tan rápido como donan guita para reconstruir Notre Dame...
en,,RT @TeaBoots: A firefighter releases video inside the Cathedral Notre Dame as thousands of Catholics march for support and solidarity mourning the damage https://t.co/J5ViDlKjoG
pl,"Łomianki, Polska","RT @ksTadeuszRydzyk: Najnowsze doniesiena z Paryża, już po kilku godzinach pracy Komisja Antoniego Macierewicza ustaliła że przyczyną spalenia stropu Notre Dame był prawdopodobnie ogień."
en,"Honolulu, HI",How to rebuild a Gothic masterpiece like Notre Dame - CNN Style https://t.co/ywPvUjtUpw
es,España,"RT @ElSrDerecha: Los propietarios de Louis Vuitton donan 200 Mill. € para reparar la Catedral de Notre Dame:

¡Que gran corazón!

Amanecio Ortega dona 320 Mill. € para la compra de materiales oncológicos

Es para pagar menos impuestos. No aceptamos limosnas de un soberbio ricachón.

En fin"
en,"Virginia, USA","RT @DanRather: Why has the burning of Notre Dame moved so many? Because we believe in beauty, majesty, faith, art, history, and the human expressions thereof. We recognize in this cathedral our common humanity. A scar now emerges in our connections to our past, our future, and each other."
en,Earth,"RT @meganromer: My heart is broken over the loss of Notre Dame. 

The Catholic Church is also one of the world’s wealthiest entities. 

If you are going to donate money to rebuild a church this week, I implore you to make it the black churches in St. Landry Parish. 

https://t.co/HBh4n80nT1"
es,,"RT @raulsdargoltz: Siria fue bombardeado y se destrozaron patrimonios de la humanidad como el Teatro de Palmira, estos monumentos son muchos más antiguos que varios de occidente. Pero como no es primer mundo no tuvo la repercusión necesaria  como hoy con Notre Dame https://t.co/QkrfD7Tv4G"
es,,"RT @PedroFerriz: #NotreDame más allá de un templo religioso, es un monumento histórico, conozcamos un poco más sobre su historia. #ÁlbumBlanco

Les comparto la colaboración de @YuriEhrlich para @CentralFM_ 📄

https://t.co/HdmTcNoeup"
es,"Santander, Cantabria",RT @fherherrer: Así tuve la suerte de fotografiar la espina de Notre Dame hace poco más de dos años. Ahora se habla de más de quince años de reconstrucción. Ojalá algún día volver a verla así. ❤️🇲🇫 https://t.co/LqGzX4YJep
en,Philadelphia,"RT @HoarseWisperer: Over 400 million euros have been pledged to rebuild Notre Dame.

Surely we can help rebuild three churches burned in acts of racist hate. https://t.co/jB88ntOii4"
fr,Hogwarts,"RT @bigfloetoli: « Une journée à Paris,
Notre-Dame m’a fait une scène
Elle m’a dit qu’j’étais trop lent
Et qu’nos petits accents la gène.
Elle est pressante et oppressante, 
Elle est stressante et cruelle
Elle est blessante, elle est glaçante 
Mais putain ce qu'elle est belle... »
❤️🇫🇷 https://t.co/PuOnB2OVIA"
en,"Texas, USA","Christ Church, New Zealand shooting 3/15/19

Notre Dame burns 4/15/19
 https://t.co/8l6iEvXJXf"
es,,"RT @elbarroquista: Con más de 24 horas de distancia sobre el terrible incendio que sufrió ayer la catedral de Notre-Dame de París, me gustaría hacer una serie de consideraciones.

HILO https://t.co/G0y4l2qIwQ"
en,"New South Wales, Australia",RT @tonesatan: masjid al-aqsa is 128 years older than notre dame and is literally one of the holiest sites in islam. our prophet led prayers towards it and the fact that everyone is ignoring this says a lot about how much people don't care about us. https://t.co/revCkuyyas
en,"Ohio, USA","RT @EdKrassen: The Notre Dame Cathedral Fire is horrific, and it's nice that Trump &amp; Pence took time to tweet their thoughts &amp; prayers to the people of Paris, but why the hell haven't they tweeted a single word about the three black churches that burnt down in America this month?

America 1st?"
en,"Los Angeles, CA","RT @danarel: *Notre Dame accidentally burns from construction mishap*

Everyone: ""THIS IS A TRAGEDY!""

*3 black churches burned by white nationalist*

Everyone:"
en,Somewhere in Canada,"RT @OliverHackett: Notre Dame falling.

https://t.co/Yj7SV2G7lT"
en,Germany,tbh I love the Notre Dame Cathedral but when I saw how much money it needs to be fixed  : I agree with this tweet https://t.co/lwTQE66RsH
pt,"Florianópolis, Brasil","RT @Zaz_Official: Près de Notre Dame
Parfois couve un drame 
Oui mais à Paname
Tout peut s’arranger 
Quelques rayons
Du ciel d’été 
L’accordéon 
D’un marinier
L’espoir fleurit
Au ciel de Paris ...

Trop mal au cœur 💔 
#NodreDameDeParis #notredame #paris"
fr,,"RT @Lolitadeperpi2: Tiens donc ! Le pognon afflue pour restaurer Notre dame. 
Pinault, Total, Vuitton...
"" St pierre ! Trois suites au paradis steuplait ! Non, pas pour de suite... réserve,c'est tout ! """
ja,Tokyo,RT @TIME: Paris firefighters release dramatic footage of their battle to save Notre Dame https://t.co/hj8A8vUJSw https://t.co/sB69AYrq8H
es,In Asgard with Thor☾,"RT @raulsdargoltz: Siria fue bombardeado y se destrozaron patrimonios de la humanidad como el Teatro de Palmira, estos monumentos son muchos más antiguos que varios de occidente. Pero como no es primer mundo no tuvo la repercusión necesaria  como hoy con Notre Dame https://t.co/QkrfD7Tv4G"
